wall_seconds,reset_count,step,cycle_mode,cycle_count,experiment,symmetry_break,drive_env,gate_value,signal_phase,corr_value,replay_period_ratio,frequency_faithfulness,output_omega,output_replay_adv,current_balance,C_mean,C_slow_mean,R_mean,S_mean,dC_mean,dC_pos_mean,dC_neg_mean,R_slow_mean,retention_mean,improve_mean,degrade_mean,surprise_gate_mean,quiet_prune_mean,S_growth_mean,S_mass
1.8827224997803569,0,1,warmup,0,temporal_v1,,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.32262593507766724,0.032262593507766724,0.4811006784439087,0.12478934973478317,0.32262593507766724,0.32262593507766724,0.0,0.009622013196349144,0.0,0.3206259310245514,0.0,0.0,0.07037799060344696,0.0,0.12478934228420258
4.75163699965924,0,11,warmup,0,temporal_v1,,0.0,0.0,0.7853981633974483,0.0,nan,nan,0.0,0.0,0.0,0.8713119029998779,0.11616751551628113,0.07561246305704117,0.12439091503620148,0.839049220085144,0.839049220085144,0.0,0.010941822081804276,0.032262593507766724,0.8370492458343506,0.0,0.0011720939073711634,0.06905817985534668,0.0409540981054306,0.12439092248678207
6.925545299425721,0,21,warmup,0,temporal_v1,,0.0,0.0,1.5707963267948966,0.0,nan,nan,0.0,0.0,0.0,0.9118061065673828,0.19573137164115906,0.05158282816410065,0.1247071921825409,0.7956385612487793,0.7956401109695435,1.5705809346400201e-06,0.01175464317202568,0.11616751551628113,0.7936421036720276,0.0,0.0044356659054756165,0.06824535131454468,0.17574173212051392,0.12470719963312149
8.449260899797082,0,31,warmup,0,temporal_v1,,0.0,0.0,2.356194490192345,0.0,nan,nan,0.0,0.0,0.0,0.9294302463531494,0.26910126209259033,0.04101061820983887,0.1259327083826065,0.7336989045143127,0.7337349653244019,3.611142165027559e-05,0.012339761480689049,0.19573137164115906,0.7317389249801636,3.220517100999132e-05,0.008633432909846306,0.06766024231910706,0.3532744348049164,0.1259327083826065
10.578827800229192,0,41,warmup,0,temporal_v1,,0.0,0.0,3.141592653589793,0.0,nan,nan,0.0,0.0,0.0,0.9466588497161865,0.33685702085494995,0.031095441430807114,0.12828652560710907,0.6775575876235962,0.6775798797607422,2.2227002773433924e-05,0.012714875862002373,0.26910126209259033,0.6755837202072144,2.027387745329179e-05,0.011636507697403431,0.06728512048721313,0.5760563611984253,0.12828654050827026
12.041895499452949,0,51,warmup,0,temporal_v1,,0.0,0.0,3.9269908169872414,0.0,nan,nan,0.0,0.0,0.0,0.9556841850280762,0.3987397253513336,0.02569207176566124,0.13118115067481995,0.618827223777771,0.6188422441482544,1.50870910147205e-05,0.012974420562386513,0.33685702085494995,0.6168464422225952,1.118084037443623e-05,0.014030525460839272,0.0670255720615387,0.6831132769584656,0.13118113577365875
14.183539799414575,0,61,warmup,0,temporal_v1,,0.0,0.0,4.71238898038469,0.0,nan,nan,0.0,0.0,0.0,0.9577046036720276,0.45463621616363525,0.0245808232575655,0.1342003494501114,0.5589649081230164,0.5593069791793823,0.0003420720750000328,0.013206548057496548,0.3987397253513336,0.5573147535324097,0.00033425958827137947,0.01631748490035534,0.06679344922304153,0.7048797607421875,0.13420036435127258
15.660252999514341,0,71,warmup,0,temporal_v1,,0.0,0.0,5.497787143782138,0.0,nan,nan,0.0,0.0,0.0,0.9616577625274658,0.5053383111953735,0.02240658923983574,0.13764789700508118,0.5070215463638306,0.5074172019958496,0.0003956638975068927,0.013390550389885902,0.45463621616363525,0.5054270029067993,0.0003858983109239489,0.018536649644374847,0.0666094422340393,0.7847574949264526,0.13764789700508118
17.78791769966483,0,81,warmup,0,temporal_v1,,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.9675624370574951,0.5515607595443726,0.018719561398029327,0.14168307185173035,0.4622241258621216,0.46308934688568115,0.0008652276592329144,0.013497130014002323,0.5053383111953735,0.46110299229621887,0.0008515558438375592,0.020004596561193466,0.06650286912918091,0.9003874063491821,0.14168307185173035
19.235122700221837,0,91,warmup,0,temporal_v1,,0.0,0.0,0.7853981633974483,0.0,nan,nan,0.0,0.0,0.0,0.9704285264015198,0.5934475064277649,0.01714322715997696,0.14593064785003662,0.4188677668571472,0.4206557869911194,0.0017880310770124197,0.01357005164027214,0.5515607595443726,0.4186733663082123,0.0017704530619084835,0.02120831608772278,0.06643079221248627,0.9414618015289307,0.14593064785003662
